prompt,should_trigger,kind,notes
"/north-star",true,explicit,"Direct slash command."
"Set the north star for this project.",true,explicit,"Verbatim trigger phrase."
"What's our north star here?",true,explicit,"Read existing or derive."
"Lock in project direction so agents can act autonomously.",true,implicit,"Autonomy + direction = north star."
"Derive a guiding principle the orchestrator can decide by.",true,implicit,"Matches autonomy-anchor framing."
"Give me a project compass so /orchestrator-mode stops asking what to do.",true,implicit,"Pain point match: avoid re-prompting."
"Inspect this repo and propose a mission + non-goals + decision principles.",true,implicit,"Inspection + artefact shape."
"Refresh the north star — we just dropped browser-extension support.",true,implicit,"Refresh trigger via removed scope."
"Two of our decision principles contradict the new constraint; reconcile.",true,contextual,"Per-section refresh."
"/orchestrator-mode boot just told me there's no north star — create one.",true,contextual,"Boot-prompt downstream invocation."
"Plan next sprint's tickets.",false,near_miss,"Sprint plan, not direction. Use planning skill."
"Draft OKRs for Q3.",false,near_miss,"OKRs are tactical/measurable; north star is durable principles."
"Write a product roadmap for the next 12 months.",false,near_miss,"Roadmap is feature-time plan; north star is decision rule."
"Outline marketing copy for the landing page.",false,near_miss,"Copy/positioning, not internal compass."
"Break this feature into implementable subtasks.",false,near_miss,"Feature scoping; use brainstorm/plan."
"Brainstorm names for the project.",false,near_miss,"Naming, not direction."
"Summarize what we shipped last week.",false,near_miss,"Recap, not direction."
"What does 'north star metric' mean in product analytics?",false,near_miss,"Conceptual question about industry term."
"Audit the codebase for security issues.",false,near_miss,"Audit task, not direction."
"Generate a CONTRIBUTING.md.",false,near_miss,"Repo docs, not north star."
