prompt,should_trigger,kind,notes
"Clean up old plans and stale docs in this repo.",true,explicit,"Main cleanup workflow"
"Remove completed specs now that the feature shipped.",true,explicit,"Implemented artifact cleanup"
"Tidy docs and tell me what is out of date.",true,casual,"Docs staleness report"
"Find orphaned markdown artifacts after this release.",true,implicit,"Artifact audit"
"Can you prune stale .superpowers plans?",true,explicit,"Known artifact location"
"Audit merged branches and old recap files for cleanup.",true,contextual,"Orphaned artifacts"
"Classify docs as keep update remove or review.",true,explicit,"Cleanup report shape"
"Free up disk space on my Mac.",false,near-miss,"System cleanup, not repo artifact cleanup"
"Remove unused npm dependencies.",false,near-miss,"Package maintenance"
"Refactor dead code from the auth module.",false,near-miss,"Code refactor"
"Generate fresh docs for the API.",false,near-miss,"Documentation generation"
"Delete README.md.",false,near-miss,"Living docs require update/confirmation, not cleanup trigger alone"
"Clean up my calendar.",false,near-miss,"Calendar task"
