prompt,should_trigger,kind,notes
"Catch me up on this project.",true,explicit,"Common recap phrasing."
"What was I working on yesterday?",true,explicit,"Return-from-away trigger."
"Where did I leave off in this repo?",true,explicit,"Session continuity request."
"Start-of-day recap for the current project.",true,explicit,"Daily session start."
"I am back from a break; summarize the active branch and next steps.",true,implicit,"Recap plus next-step suggestions."
"What happened since my last session?",true,contextual,"Recent activity synthesis."
"Run recap and tell me what to work on next.",true,explicit,"Direct skill name and output."
"Make a weekly report for my manager.",false,near_miss,"Period report belongs to recap-report."
"Summarize this single PR review thread.",false,near_miss,"PR-specific summary."
"Create a handoff prompt for the next orchestrator.",false,near_miss,"Handoff workflow."
"Show git status only.",false,near_miss,"Single command/status, not full recap."
"Write release notes for v1.2.",false,near_miss,"Release documentation."
"Explain how daily recaps should work.",false,near_miss,"Conceptual explanation."
"Archive old recap files.",false,near_miss,"Maintenance action, not recap generation."
