prompt,should_trigger,kind,notes
"Use /orchestrator-mode for this repo and coordinate the next wave of agents.",true,explicit,"Direct invocation and coordination request."
"This feature has three independent parts; spin up workers and manage reviews.",true,implicit,"Large multi-phase parallel delegation."
"Act as orchestrator: make todos, delegate implementation, and gate PR merges.",true,explicit,"Mentions orchestrator duties."
"Coordinate a counselors plan review, then dispatch implementation agents.",true,contextual,"Multi-reviewer plan workflow."
"We have several Solo agents already running; take over monitoring and routing.",true,contextual,"Agent coordination state."
"Set up agent briefs for parallel worktrees and scratchpad reporting.",true,implicit,"Delegation plus state hygiene."
"Need a full brainstorm to plan to implementation workflow across agents.",true,implicit,"Non-trivial feature pipeline."
"Fix this typo in README.",false,near_miss,"Small direct edit does not need orchestration."
"Review PR #12 for bugs.",false,near_miss,"Normal review should use review workflow."
"Write one unit test for this helper.",false,near_miss,"Focused coding task, not orchestration."
"Summarize what happened yesterday.",false,near_miss,"Recap request, not agent coordination."
"Create a handoff prompt for a new session.",false,near_miss,"Handoff-specific workflow."
"Clean stale worktrees only.",false,near_miss,"Cleanup task, not full orchestrator mode."
"Explain what orchestrator means in Kubernetes.",false,near_miss,"Conceptual question outside this skill."
