prompt,should_trigger,kind,notes
"Time for a handoff; make a prompt for the next orchestrator.",true,explicit,"Direct handoff request."
"Start a new orchestrator session but preserve all active agent state.",true,explicit,"Session-switch intent."
"Context is almost full; capture what the next coordinator needs.",true,implicit,"Context-budget trigger."
"Write a handoff scratchpad with running agents, open PRs, and next wave.",true,explicit,"Names required artifact."
"I need to move this coordinated work to a fresh PTY.",true,contextual,"Fresh session transfer."
"Before I restart, summarize active Solo processes and decisions as a pasteable prompt.",true,implicit,"Handoff output shape."
"Create the orchestrator transfer note, but don't stop any agents.",true,contextual,"Read-only handoff."
"Give me a quick status update on the current PR.",false,near_miss,"Status only, not full handoff."
"Summarize what happened in this session.",false,near_miss,"Plain summary, not orchestrator transfer artifact."
"Archive completed scratchpads from old workflows.",false,near_miss,"State mutation, not read-only handoff."
"Stop all running agents before I leave.",false,near_miss,"Destructive lifecycle action."
"Write a release report for this milestone.",false,near_miss,"Reporting workflow, not handoff."
"Draft a handoff email for my human teammate.",false,near_miss,"Human communication, not orchestrator prompt."
"Open a new PR for the current changes.",false,near_miss,"Implementation/repo action."
