prompt,should_trigger,kind,notes
"What did I ship this week?",true,explicit,"Weekly report request."
"Make a monthly summary for this repo.",true,explicit,"Monthly report request."
"Generate an activity report for March 1 through March 15.",true,explicit,"Custom date range."
"Summarize what we worked on this month, including team activity.",true,implicit,"Period report with attribution."
"I need a progress report from daily recaps and git history.",true,explicit,"Names sources and artifact."
"Create a report for the last 7 days.",true,contextual,"Default week period."
"Give me shipped work, open work, and stats for the past month.",true,implicit,"Report sections."
"Catch me up on where I left off today.",false,near_miss,"Daily recap instead."
"What is my current git status?",false,near_miss,"Status command, not report."
"Review this PR for regressions.",false,near_miss,"Code review request."
"Write release notes for one version.",false,near_miss,"Release-note workflow, not activity report."
"Create a handoff scratchpad for a new orchestrator.",false,near_miss,"Handoff workflow."
"Summarize this meeting transcript.",false,near_miss,"Non-repo summary."
"Explain what a progress report should include.",false,near_miss,"Conceptual request."
